,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
81900,2020-06-08 23:00:00+00:00,1.60858,1.60859,1.60845,1.60854,-1,-1.0,-1,1.6086,1.60862,1.60853,1.60859,-1,-1.0,-1
0,2020-06-09 00:00:00+00:00,1.60941,1.60941,1.60934,1.60934,-1,-1.0,-1,1.60949,1.60949,1.6094,1.6094,-1,-1.0,-1
3600,2020-06-09 01:00:00+00:00,1.61079,1.61094,1.61079,1.61088,-1,-1.0,-1,1.6109,1.611,1.61089,1.61097,-1,-1.0,-1
7200,2020-06-09 02:00:00+00:00,1.61147,1.61147,1.61133,1.61147,-1,-1.0,-1,1.61154,1.61154,1.61143,1.61153,-1,-1.0,-1
10800,2020-06-09 03:00:00+00:00,1.61178,1.61191,1.61178,1.61187,-1,-1.0,-1,1.61182,1.61198,1.61182,1.61195,-1,-1.0,-1
14400,2020-06-09 04:00:00+00:00,1.61326,1.61334,1.61322,1.61322,-1,-1.0,-1,1.61332,1.61335,1.61327,1.61329,-1,-1.0,-1
18000,2020-06-09 05:00:00+00:00,1.6154,1.61541,1.61524,1.61524,-1,-1.0,-1,1.61548,1.6155,1.61531,1.61531,-1,-1.0,-1
21600,2020-06-09 06:00:00+00:00,1.61427,1.61432,1.61426,1.6143,-1,-1.0,-1,1.61434,1.61443,1.61434,1.6144,-1,-1.0,-1
25200,2020-06-09 07:00:00+00:00,1.62108,1.62109,1.62089,1.62089,-1,-1.0,-1,1.62113,1.62115,1.62092,1.62093,-1,-1.0,-1
28800,2020-06-09 08:00:00+00:00,1.62526,1.62526,1.6251,1.62514,-1,-1.0,-1,1.62533,1.62533,1.62518,1.62521,-1,-1.0,-1
32400,2020-06-09 09:00:00+00:00,1.6284,1.6284,1.62827,1.62832,-1,-1.0,-1,1.62848,1.62848,1.62835,1.62838,-1,-1.0,-1
36000,2020-06-09 10:00:00+00:00,1.62955,1.62959,1.62954,1.62955,-1,-1.0,-1,1.62965,1.6297,1.62963,1.62967,-1,-1.0,-1
39600,2020-06-09 11:00:00+00:00,1.62746,1.62746,1.6273,1.62731,-1,-1.0,-1,1.62748,1.62749,1.62736,1.6274,-1,-1.0,-1
43200,2020-06-09 12:00:00+00:00,1.62542,1.62543,1.62538,1.62542,-1,-1.0,-1,1.62549,1.6255,1.62546,1.62549,-1,-1.0,-1
46800,2020-06-09 13:00:00+00:00,1.62951,1.62967,1.62946,1.62965,-1,-1.0,-1,1.62957,1.62973,1.62951,1.62972,-1,-1.0,-1
50400,2020-06-09 14:00:00+00:00,1.63142,1.63142,1.63118,1.63127,-1,-1.0,-1,1.63146,1.63152,1.63122,1.63137,-1,-1.0,-1
54000,2020-06-09 15:00:00+00:00,1.62776,1.62779,1.62767,1.62776,-1,-1.0,-1,1.62779,1.62786,1.62774,1.62781,-1,-1.0,-1
57600,2020-06-09 16:00:00+00:00,1.6298,1.6298,1.62975,1.62975,-1,-1.0,-1,1.62982,1.62983,1.62981,1.62983,-1,-1.0,-1
61200,2020-06-09 17:00:00+00:00,1.6289,1.62907,1.6289,1.62903,-1,-1.0,-1,1.629,1.62911,1.62897,1.62905,-1,-1.0,-1
64800,2020-06-09 18:00:00+00:00,1.62839,1.62845,1.62835,1.62844,-1,-1.0,-1,1.62847,1.62851,1.62843,1.62849,-1,-1.0,-1
68400,2020-06-09 19:00:00+00:00,1.62876,1.62879,1.62874,1.62875,-1,-1.0,-1,1.62884,1.62885,1.62881,1.62882,-1,-1.0,-1
72000,2020-06-09 20:00:00+00:00,1.62805,1.62816,1.62802,1.6281,-1,-1.0,-1,1.62809,1.62821,1.62806,1.62817,-1,-1.0,-1
78300,2020-06-09 22:00:00+00:00,1.62966,1.63013,1.62966,1.63013,-1,-1.0,-1,1.63036,1.63049,1.63032,1.6304,-1,-1.0,-1
81900,2020-06-09 23:00:00+00:00,1.62931,1.62962,1.62931,1.62947,-1,-1.0,-1,1.62942,1.6297,1.62942,1.62958,-1,-1.0,-1
0,2020-06-10 00:00:00+00:00,1.63294,1.63296,1.63274,1.63281,-1,-1.0,-1,1.63306,1.63306,1.6328,1.63287,-1,-1.0,-1
3600,2020-06-10 01:00:00+00:00,1.63357,1.63362,1.63352,1.63352,-1,-1.0,-1,1.6336,1.63365,1.63358,1.63359,-1,-1.0,-1
